time/time_elapsed,time/fps,time/total_timesteps,time/iterations,train/std,train/clip_fraction,train/explained_variance,train/n_updates,train/entropy_loss,train/clip_range,train/value_loss,train/approx_kl,train/policy_gradient_loss,train/loss,train/learning_rate,rollout/ep_rew_mean,rollout/ep_len_mean
415,518,215040,105,0.8646277189254761,0.027734375,0.9873915314674377,1040,-2.547526901960373,0.2,3.8484685331583024,0.0028810876,-0.0031363123329356314,0.9001184105873108,0.0003,-171.52734101,1200.0
420,515,217088,106,0.864372968673706,0.0146484375,0.9788978099822998,1050,-2.5460625171661375,0.2,9.03248022198677,0.0037520123,-0.001560336328111589,2.3758323192596436,0.0003,-176.95709842999997,1200.0
423,517,219136,107,0.8633798360824585,0.02978515625,0.9809648990631104,1060,-2.545228087902069,0.2,22.186134767532348,0.00610602,-0.0032256932579912247,6.0392045974731445,0.0003,-176.95709842999997,1200.0
429,515,221184,108,0.8630789518356323,0.034423828125,0.959861695766449,1070,-2.5430745244026185,0.2,12.466592228412628,0.0069237845,-0.0033984587527811526,1.9938801527023315,0.0003,-173.3649182,1200.0
431,516,223232,109,0.862677812576294,0.02802734375,0.9872958660125732,1080,-2.542788881063461,0.2,6.206252533197403,0.006212343,-0.0023567470023408534,1.8155999183654785,0.0003,-173.3649182,1200.0
434,518,225280,110,0.8612203001976013,0.014697265625,0.9726752638816833,1090,-2.5407349348068236,0.2,3.4458873510360717,0.0029064147,-0.002793916326481849,1.0804803371429443,0.0003,-173.3649182,1200.0
440,516,227328,111,0.8600226640701294,0.024365234375,0.933211088180542,1100,-2.537462389469147,0.2,11.699323272705078,0.0038417266,-0.0033976049220655114,3.633664131164551,0.0003,-182.12010282000003,1200.0
442,518,229376,112,0.8606228232383728,0.009375,0.9775612950325012,1110,-2.5361793637275696,0.2,11.862255501747132,0.0032409723,-0.0028217992279678584,4.254076957702637,0.0003,-182.12010282000003,1200.0
448,516,231424,113,0.8604732751846313,0.015380859375,0.9726861715316772,1120,-2.5374946117401125,0.2,4.413447457551956,0.003352774,-0.0017628324159886688,1.1896082162857056,0.0003,-193.94541471000005,1200.0
451,517,233472,114,0.8605291843414307,0.0091796875,0.9871339201927185,1130,-2.5367729306221007,0.2,11.209432470798493,0.0034374231,-0.001143277296796441,3.7932639122009277,0.0003,-193.94541471000005,1200.0
456,515,235520,115,0.8605492115020752,0.03955078125,0.9833055734634399,1140,-2.5373263239860533,0.2,2.719090963900089,0.0047377665,-0.005044557969085872,0.6931745409965515,0.0003,-200.34218556,1200.0
459,517,237568,116,0.8602682948112488,0.01884765625,0.9843196272850037,1150,-2.5368016958236694,0.2,8.001375722885133,0.005784715,-0.0019752589927520604,2.6081595420837402,0.0003,-200.34218556,1200.0
462,518,239616,117,0.8583400249481201,0.016943359375,0.9787522554397583,1160,-2.5349474370479586,0.2,1.3000730097293853,0.0043501914,-0.0038293316843919455,0.3378058969974518,0.0003,-200.34218556,1200.0
467,516,241664,118,0.8589764833450317,0.01015625,0.8621898293495178,1170,-2.531625872850418,0.2,0.9605983711779118,0.0015527147,-0.0014083516667596995,0.15571050345897675,0.0003,-203.72229433,1200.0
470,518,243712,119,0.8578473329544067,0.042529296875,0.9885348677635193,1180,-2.5327463865280153,0.2,3.759225940704346,0.004248513,-0.0027450971712823955,1.238073468208313,0.0003,-203.72229433,1200.0
476,516,245760,120,0.8577698469161987,0.00927734375,0.9869296550750732,1190,-2.5302313208580016,0.2,1.6390354752540588,0.0029728704,-0.0006627229624427855,0.18045459687709808,0.0003,-211.07012666999998,1200.0
478,517,247808,121,0.8578312397003174,0.046875,0.9910852313041687,1200,-2.5310982882976534,0.2,7.726889538764953,0.007283233,-0.005485092580784112,2.462059497833252,0.0003,-211.07012666999998,1200.0
487,512,249856,122,0.8575930595397949,0.0123046875,0.9889709949493408,1210,-2.5304743528366087,0.2,1.8914831325411796,0.0034990981,-0.0008353129262104631,0.4344102442264557,0.0003,-215.04826245000004,1199.18
489,514,251904,123,0.8574488759040833,0.012890625,0.9210571050643921,1220,-2.5300200819969176,0.2,70.53672473430633,0.0058662444,-0.0009959594579413533,32.297882080078125,0.0003,-215.04826245000004,1199.18
,,,,0.8570517301559448,0.010400390625,0.6779235601425171,1230,-2.529643249511719,0.2,3.734585151076317,0.0027788496,-0.0013029924710281193,0.6276707053184509,0.0003,,
